name,email,standard,gender,avg_sat_score,avg_pat_score,attendance,category
Patrick Fisher,bianca67@arnold.biz,12,Male,57.8,34.8,75.5,Low
Misty Mays,scottmcgee@alexander-briggs.org,8,Male,64.8,35.0,88.0,Medium
Denise Richards,wesleygonzales@gmail.com,10,Male,65.0,30.5,77.9,Medium
Michael Romero,jamesalexandra@yahoo.com,9,Male,84.4,40.7,87.9,Medium
Nicholas Griffin,swang@hotmail.com,10,Male,67.3,41.1,72.1,Low
Beverly Palmer,joshuastephenson@hotmail.com,12,Male,55.3,38.9,81.7,Low
Stephanie Bailey,gallegosjennifer@gmail.com,10,Female,58.2,27.7,88.1,Low
Brianna Salazar,jeremywright@hughes-morris.com,9,Female,63.7,36.8,100.0,Medium
Marissa King,thomas50@yahoo.com,8,Female,57.7,35.7,79.8,Low
Jennifer Hansen,ejuarez@ramos-munoz.com,8,Female,90.6,32.4,95.5,Medium
Patricia Davis,kristinmorgan@brown.com,10,Male,84.2,46.6,81.1,Medium
Patrick Farmer,omitchell@ochoa-davis.org,12,Female,70.7,48.7,81.0,Medium
Jessica Gaines,lewisheather@ramirez.com,9,Male,80.4,38.7,91.8,Medium
Savannah Watson,danielstephens@paul.info,9,Male,65.4,37.2,75.5,Medium
Valerie Mitchell DVM,zwhite@coleman-williams.com,12,Male,70.5,35.5,84.2,Medium
Daniel Eaton,eric65@delgado-bates.com,9,Female,78.4,26.1,73.0,Low
Barbara Frazier,edwardsmelissa@mcknight.net,11,Female,87.1,38.7,93.4,Medium
Nicholas Schmidt,kyle34@yahoo.com,12,Female,62.2,26.2,85.7,Low
Jeffrey Hughes,phillip74@hotmail.com,12,Female,73.9,33.8,64.0,Low
Lindsay Cunningham,fernandosimmons@holt.com,9,Male,88.7,27.4,62.1,Low
Stacy Thompson,lewisandrea@gmail.com,11,Male,78.6,32.9,91.8,Medium
Austin Taylor,cassandraking@young.com,9,Female,69.8,36.4,100.0,Medium
Amanda Lopez MD,candice45@hotmail.com,12,Female,78.3,27.7,100.0,Low
Ian Hall,markgarcia@dougherty-murillo.net,9,Female,61.4,29.3,95.9,Low
Robert Warner,rmedina@yahoo.com,11,Male,59.9,50.0,92.4,Low
Roy Reynolds,jessica77@miller-york.com,8,Female,71.8,20.0,75.0,Low
Tiffany Goodwin,darrellrosario@yahoo.com,12,Male,80.8,35.8,99.7,Medium
Craig Howell,zbrown@gordon.info,8,Female,85.6,39.4,71.7,Low
Marcus Parks,brennansusan@yahoo.com,12,Female,96.5,40.1,89.4,Medium
James Taylor,marisawright@yahoo.com,8,Male,84.9,29.4,93.0,Low
Kayla Reyes,brianmullins@hotmail.com,8,Female,52.9,38.6,83.5,Low
Daniel Bailey,sheila42@gmail.com,8,Female,62.3,32.1,81.4,Medium
Craig Kane,natasha11@yahoo.com,8,Male,73.1,49.0,76.0,Medium
Tracy Crawford,hcooper@jones-martin.com,8,Female,83.6,43.6,85.7,Medium
Linda Thompson,zimmermankevin@yahoo.com,11,Female,71.9,34.2,90.4,Medium
Catherine Galvan,mckinneykenneth@parsons.com,12,Female,71.1,24.1,95.7,Low
Brian Young,gregorystuart@gmail.com,11,Male,42.8,24.8,81.9,Low
Kristi Walker,james49@hotmail.com,8,Female,81.5,29.5,76.6,Low
Emily Chandler,uchristensen@jennings-williams.com,11,Male,64.2,33.8,91.0,Medium
Matthew Higgins,delgadomelinda@hotmail.com,11,Female,68.8,34.1,87.0,Medium
Sarah Moore,joseph44@williams.org,12,Female,58.5,36.8,95.2,Low
Jeffrey Morales,edwardcannon@hotmail.com,11,Male,78.9,30.9,92.9,Medium
Kara Wise,ashleysmith@mcdowell.com,12,Female,79.2,30.1,86.9,Medium
Lisa Johnson,robert15@lopez.com,9,Male,76.2,44.5,85.6,Medium
William Holland,aaron30@gmail.com,9,Female,80.8,38.9,100.0,Medium
Brittany Simpson,vsmith@gmail.com,12,Female,70.2,30.0,93.0,Medium
Brian Humphrey,jimenezheather@delgado-henry.org,12,Female,73.7,29.6,87.4,Low
Pamela Davis,meagan44@hotmail.com,11,Female,59.0,47.3,74.8,Low
Thomas Palmer,fporter@leonard.org,8,Female,86.0,39.5,81.5,Medium
Sarah Chen,clarktracy@price.net,9,Male,83.6,23.6,84.7,Low
Charles Hughes,christinarodriguez@gmail.com,10,Female,54.7,50.0,63.5,Low
Martha Green,vickilarson@hotmail.com,12,Female,89.8,27.2,82.1,Low
Justin Johnson,nshort@gmail.com,8,Female,62.9,35.3,95.0,Medium
Belinda Murray,gatestaylor@yahoo.com,8,Male,66.0,39.9,76.0,Medium
Candice Shaw,reedfrank@yahoo.com,10,Male,46.1,25.1,72.4,Low
Victoria Rivers,fwall@yahoo.com,12,Female,72.4,25.1,84.6,Low
Maurice Smith,williamsjames@lewis.com,10,Female,82.2,28.6,79.0,Low
Trevor Calhoun,brittanyfrederick@simpson.net,8,Male,89.4,36.0,81.1,Medium
Jose Blackburn,bryantharold@ramirez.com,11,Female,63.5,49.9,91.6,Medium
Ebony Spencer,dgarrett@strong-khan.com,12,Male,52.6,37.5,95.5,Low
Andrew Miller,gonzalezedward@pace.net,11,Male,76.7,35.0,85.6,Medium
Scott Dalton,ctanner@hotmail.com,10,Female,55.9,38.9,75.1,Low
Laura Jones,megan12@gmail.com,8,Female,44.1,45.0,70.7,Low
Joseph Daniel,morajeffery@douglas.org,11,Female,64.4,27.7,100.0,Low
Matthew Martinez,rhonda86@park.com,8,Male,81.6,30.5,100.0,Medium
Emma Lopez,bmason@hotmail.com,8,Male,77.1,41.1,91.5,Medium
Brandon Riley,nicholeroth@yahoo.com,9,Male,74.7,40.4,100.0,Medium
Mark Price,stephanie87@yahoo.com,11,Female,68.9,48.2,99.1,Medium
Mrs. Christine Mckenzie,ronald72@young-yu.info,12,Female,63.3,31.3,85.5,Medium
Melissa Johnson,gregory18@gmail.com,9,Female,74.2,38.7,90.5,Medium
Patricia Clark DDS,ymassey@mueller.org,10,Female,49.3,36.7,81.3,Low
Alex Barber,hansenjordan@ayala.com,11,Female,50.1,37.4,88.7,Low
Cynthia Williams,erin98@orr-johnson.com,10,Female,58.1,30.3,100.0,Low
Mrs. Julia Anderson,davisyolanda@hotmail.com,11,Male,51.1,26.1,84.8,Low
Tyler Benson,juliawashington@gmail.com,10,Female,71.4,24.5,78.5,Low
Amanda Johnson,xsmith@williams.com,9,Male,82.1,36.9,81.3,Medium
Eric Frazier,westgary@hotmail.com,11,Male,69.4,26.0,87.2,Low
Lori Bennett,henrypatrick@yahoo.com,8,Female,82.5,42.1,97.4,High
Brett Smith,wilsonjorge@hotmail.com,9,Female,73.0,25.3,100.0,Low
Nicole White,hoffmanmarcus@hotmail.com,9,Male,74.2,33.4,81.3,Medium
Kayla Wells,whodge@gmail.com,10,Female,79.4,38.4,77.2,Medium
James Rhodes,lozanoanthony@trevino.com,9,Female,56.9,41.5,98.4,Low
Randy Kaiser,vanessalittle@yahoo.com,10,Female,75.0,41.9,77.2,Medium
Miguel Miller,misty17@perez.net,10,Female,51.4,41.0,92.8,Low
Joanne Zamora,hollandlydia@yahoo.com,12,Male,76.6,28.2,68.6,Low
Billy Boone,danielle62@hotmail.com,8,Male,41.3,26.5,98.9,Low
Brian Baldwin,josewashington@hotmail.com,8,Male,66.7,31.2,77.8,Medium
Rebecca Clay,andersonsylvia@gmail.com,12,Female,64.1,35.3,85.2,Medium
Bradley Lewis,ogibson@yahoo.com,9,Female,62.2,41.2,100.0,Medium
Richard Rhodes,lkelley@green.biz,11,Female,47.1,32.2,88.1,Low
Mrs. Sarah Kidd,craig30@dixon.info,8,Female,73.0,42.6,93.1,Medium
Dr. Troy Anderson PhD,cruzphillip@yahoo.com,10,Female,77.8,38.0,100.0,Medium
Wendy Khan,costapeggy@hotmail.com,9,Male,64.6,46.1,96.6,Medium
Allen Blackwell,zblankenship@harris.com,12,Female,41.3,40.7,74.7,Low
Anthony Fox,dixonchristine@marshall-ramirez.com,11,Female,76.4,30.4,79.2,Medium
David Green,simsbrian@hotmail.com,8,Female,57.4,35.6,83.8,Low
Lisa Anderson,kyleharris@hotmail.com,9,Male,71.4,39.1,91.3,Medium
Jeffrey Keller,whitesusan@gmail.com,11,Male,67.0,38.8,75.0,Medium
Tiffany Bowers,scott90@hotmail.com,12,Male,80.5,46.0,81.6,Medium
Joshua Green,smithelizabeth@yahoo.com,10,Female,77.5,36.1,80.5,Medium
Thomas Grant,coconnor@yahoo.com,8,Female,65.5,20.3,84.1,Low
Jared Underwood,rgarcia@yahoo.com,11,Male,72.7,38.7,70.6,Low
Tyler Hill,evanslauren@gmail.com,9,Male,80.1,50.0,93.1,High
Gregory Baldwin,nking@butler.biz,12,Male,61.5,28.9,85.4,Low
Holly Flowers,qdiaz@davenport.info,10,Female,65.0,27.6,74.7,Low
Christopher Wright,rrodriguez@hotmail.com,10,Male,70.0,41.3,72.2,Low
Jessica Jones,umccarty@griffin.com,9,Female,63.4,34.1,100.0,Medium
Sharon Jimenez,greeneric@hotmail.com,8,Male,59.6,26.6,100.0,Low
Trevor Alvarez,yhernandez@yahoo.com,10,Male,90.8,39.7,96.0,Medium
Kathleen May,dsmith@yahoo.com,12,Male,65.5,39.0,78.9,Medium
Kelsey Gomez,philip49@dodson.com,8,Female,62.9,39.0,93.9,Medium
Mary Carter,luke82@ward.com,9,Female,90.1,36.8,89.9,Medium
Ashley Macdonald,michaelwilliams@hotmail.com,8,Female,69.4,29.4,85.3,Low
Catherine Mejia,cmeyer@alvarez.com,9,Female,50.1,38.7,74.7,Low
Todd Ruiz,danielle34@holmes.org,12,Female,71.8,27.1,70.5,Low
Cristian Holmes,jessica55@williams-curtis.biz,11,Male,86.3,38.8,83.9,Medium
Amy Ayala,david80@hotmail.com,10,Male,78.3,25.6,86.9,Low
Caitlyn Moore,dallen@peters.com,10,Male,93.6,42.7,91.5,High
Veronica Sullivan,traceywelch@hotmail.com,11,Male,65.6,36.7,94.7,Medium
Shannon Benitez,diazrobert@gmail.com,12,Male,78.2,34.6,100.0,Medium
Elizabeth Mcdaniel,allison70@yahoo.com,12,Male,80.3,34.2,100.0,Medium
Tamara Smith,ashleyclark@webb-ortiz.com,9,Female,84.2,38.1,85.1,Medium
Jodi Medina,dchristensen@hicks.com,10,Female,74.6,31.3,83.3,Medium
Patricia Rice,hamiltonscott@villa.net,9,Male,66.4,41.9,60.0,Low
Samuel Baker,jbrown@gmail.com,9,Female,77.1,47.1,89.9,Medium
Sara Lee,brian35@hotmail.com,8,Male,54.7,26.3,92.2,Low
Stephen Preston,courtneyfernandez@armstrong.net,11,Female,61.6,49.2,69.9,Low
Steven Diaz,melissa23@hotmail.com,9,Female,70.8,38.2,85.6,Medium
Angela Briggs,xwebb@yahoo.com,10,Female,76.3,20.9,93.4,Low
Carrie Wright,claytonphillips@miller.info,12,Male,59.7,26.3,94.0,Low
Robert Hall,amarquez@hotmail.com,10,Male,73.3,32.4,83.7,Medium
Andrew Ward,walshjames@yahoo.com,11,Female,77.2,47.4,83.5,Medium
Rachael Howard,gail81@franklin.net,8,Male,81.2,37.8,73.9,Low
Wendy Brock,vharris@yahoo.com,12,Male,60.6,26.7,98.8,Low
Allison Duran,michaelcurtis@gmail.com,10,Male,74.6,30.6,83.8,Medium
Gerald Robertson,kaitlynmcdonald@gmail.com,9,Female,77.9,24.9,89.7,Low
William Velez,robertsrobin@hotmail.com,9,Female,73.4,38.6,62.6,Low
Elizabeth Walters,susan81@davenport.com,9,Male,57.0,31.7,76.3,Low
Jason Thomas,william41@yahoo.com,8,Female,64.2,40.2,83.9,Medium
Rebecca Davis,jenniferboyd@yahoo.com,10,Female,81.9,39.5,83.9,Medium
Shannon Williams,murraydaniel@gmail.com,11,Male,70.4,50.0,80.9,Medium
Mark Harris,pricedustin@hotmail.com,11,Male,55.2,44.8,87.8,Low
George Taylor,heathercobb@hotmail.com,10,Female,82.7,39.0,76.1,Medium
Ryan Boyd,kennethrivera@hotmail.com,11,Male,67.5,28.3,85.5,Low
Laura Wilkerson,marcayala@hotmail.com,12,Female,81.1,24.3,84.9,Low
Regina Boyer,martinalison@smith.com,10,Female,54.5,38.5,94.1,Low
Adrian Bell,hannah73@yahoo.com,10,Female,68.2,48.9,88.8,Medium
Matthew Boyd,cfrank@armstrong.info,9,Female,78.3,33.1,82.6,Medium
David Jackson,galvanangela@yahoo.com,12,Female,89.2,30.3,95.0,Medium
Erica Davis,jeffrey17@yahoo.com,10,Female,82.7,35.9,76.6,Medium
Thomas Miller,shelley63@hotmail.com,12,Female,77.8,39.5,89.0,Medium
Timothy Robinson,shannon67@yahoo.com,8,Female,75.9,29.0,73.3,Low
Sarah Roberts,brownalexandria@gmail.com,10,Male,86.6,50.0,80.7,Medium
Taylor Jones,xbishop@hoffman.com,11,Female,69.7,35.8,80.0,Medium
Richard Parrish,maureen79@yahoo.com,11,Male,57.7,38.4,80.2,Low
Charles Garcia,milesmark@gmail.com,8,Female,54.5,44.1,84.0,Low
Rachel Thomas,jon36@shaffer.com,9,Male,90.6,29.2,89.9,Low
Erika Wade,dryan@cabrera.com,12,Male,58.7,24.5,84.8,Low
George Allen,fhaley@gmail.com,12,Female,56.0,45.3,87.3,Low
Mark Richard,rossjohn@yahoo.com,8,Male,63.3,41.1,69.7,Low
Richard Gentry,gayjennifer@hotmail.com,10,Male,78.1,31.7,84.8,Medium
Jane Clark,russelldonald@yahoo.com,8,Male,53.2,37.4,79.5,Low
Karen Andrade,ericksonpatty@yahoo.com,10,Male,72.9,32.4,73.7,Low
Nicholas Wilson,tatemariah@gmail.com,9,Female,61.0,25.7,92.9,Low
Jeffrey Hughes,stevenrodriguez@yahoo.com,12,Female,76.6,30.3,93.6,Medium
Jacqueline Adams,onolan@hernandez-west.org,9,Male,66.8,33.0,99.5,Medium
Amanda Klein,jacob15@soto-barrett.com,10,Male,83.1,38.0,78.5,Medium
Ashley Luna,melendezderek@davis-meadows.com,8,Male,75.3,40.8,82.1,Medium
Juan Graham,ramossonya@johnston.com,10,Female,65.7,32.9,87.4,Medium
Jessica Miles,swatkins@butler.com,9,Female,89.4,33.6,84.7,Medium
Kathleen Campbell,mccoyjennifer@hotmail.com,9,Female,74.1,45.8,90.4,Medium
Stephanie Hall,morenojackson@porter.com,10,Female,72.9,34.8,91.1,Medium
David Glover,michelle92@garcia.net,9,Female,48.9,39.3,72.4,Low
Daisy Murray MD,samantha69@yahoo.com,12,Male,68.0,41.5,84.5,Medium
Kathy Nguyen,michael38@yahoo.com,8,Male,49.7,29.3,77.1,Low
Christopher Johnson,jaredfox@christensen-rivera.net,8,Female,82.7,29.1,81.2,Low
Jeremiah Boyle,brent08@yahoo.com,10,Female,66.5,33.2,73.5,Low
Tyler Pitts,langbrent@larson.info,8,Male,66.9,29.6,99.9,Low
John Gonzalez,melindachambers@padilla.org,8,Male,66.0,30.9,64.3,Low
Cynthia Sandoval,graystephen@wilson.com,8,Female,66.7,28.0,82.3,Low
Adam Smith DVM,aflores@rodriguez-jacobson.com,8,Female,46.7,36.1,85.5,Low
Michael Peterson,patricia89@moore-baker.com,10,Male,82.7,32.2,80.1,Medium
Alexa Reed,josephthompson@yahoo.com,10,Male,73.1,32.9,93.9,Medium
Johnny Carrillo,jason37@murphy.com,11,Male,69.9,34.2,87.3,Medium
Jeffrey Valenzuela,jbailey@yahoo.com,8,Female,53.5,30.8,99.7,Low
Leslie Ferrell,cory16@hotmail.com,11,Male,83.2,31.0,87.8,Medium
Kelsey Delgado,taylorjade@smith.net,8,Male,88.7,42.3,87.4,Medium
Alicia Hernandez,martinezdavid@yahoo.com,9,Male,72.7,44.5,86.0,Medium
Katelyn Duncan,derek34@gmail.com,11,Male,79.2,34.3,61.9,Low
Monique Bridges,taylor10@fitzgerald.net,10,Male,61.6,33.7,85.2,Medium
Danielle Smith,brandon78@roberts-garcia.com,11,Male,82.3,35.9,86.1,Medium
Donald Oneill,kathryn12@cannon.com,12,Female,45.6,39.1,94.6,Low
Miss Stacy Crosby,smithrichard@hotmail.com,10,Female,69.7,39.6,98.9,Medium
Peggy Schultz,jonesfelicia@yahoo.com,8,Male,69.2,33.0,76.9,Medium
Lisa Frank DVM,williamsjose@heath-miller.com,12,Male,59.0,37.4,100.0,Low
Amanda Rangel,rita28@hotmail.com,12,Male,62.3,41.0,100.0,Medium
Nicole Myers,crystaloneal@gmail.com,8,Male,58.3,25.8,74.8,Low
Michael Bowen,lsnyder@yahoo.com,10,Male,85.8,48.1,93.0,High
Sharon Caldwell,caitlinarnold@moyer.com,11,Male,73.3,41.5,90.6,Medium
Patricia Roberts,cantrellryan@hotmail.com,8,Female,59.2,35.1,71.3,Low
John Williams,svelazquez@velez.com,10,Male,48.7,36.6,79.9,Low
James Morales,jonathanhayes@yahoo.com,9,Female,59.0,35.8,69.7,Low
Ashley Clark,gonzalezbenjamin@yahoo.com,9,Male,84.7,46.2,75.0,Medium
Heather Moore,fross@gmail.com,10,Male,71.1,34.9,88.4,Medium
Matthew Wheeler,qclay@gregory-smith.com,11,Male,78.7,35.7,76.6,Medium
Carrie Diaz,brooke89@nelson.com,10,Female,82.5,41.9,84.9,Medium
Jennifer Adams,julie07@gmail.com,12,Male,80.2,37.7,87.6,Medium
Laurie Richmond,randall83@jones.com,8,Female,80.5,37.3,82.5,Medium
Christopher Butler,martindouglas@gmail.com,8,Female,91.7,35.3,88.7,Medium
James Henderson,sthornton@nielsen-perez.com,8,Male,88.2,30.1,90.5,Medium
Michele Stewart,nelsonmichael@burgess-rodriguez.com,12,Female,62.8,40.5,93.7,Medium
Lisa Chung,williamstyler@schwartz.org,9,Female,66.7,39.9,82.3,Medium
John Hill,tamarahowell@gmail.com,10,Female,77.0,41.6,90.9,Medium
Steven Campbell,ylarson@gmail.com,11,Male,86.6,41.6,74.4,Low
Tonya Horton,emily28@foster.org,11,Male,70.0,26.7,88.6,Low
Jose Gentry,dclark@grimes-morales.biz,8,Male,44.4,50.0,69.5,Low
Rachel Chandler,davidjennifer@pittman.biz,8,Male,74.2,28.1,91.1,Low
Joseph Grimes,kimberly91@yahoo.com,9,Male,66.8,33.1,73.6,Low
Christian Guzman,carolinesnow@gmail.com,11,Female,69.5,42.4,87.0,Medium
Bruce Phelps,robert27@romero.com,9,Male,63.4,28.8,100.0,Low
William Rodriguez,jyoung@torres.com,12,Male,61.0,34.7,77.7,Medium
Jeffrey Gardner,bassjames@yahoo.com,8,Male,64.1,35.2,81.3,Medium
Stephen Miller,kkim@yahoo.com,12,Female,99.1,42.2,93.2,High
David Knight,freemanabigail@hotmail.com,10,Female,59.4,29.0,93.7,Low
Lisa Moore,christopherpaul@yahoo.com,11,Female,54.8,50.0,90.4,Low
Tiffany Cummings,herreratina@ray.com,11,Male,59.9,47.4,94.9,Low
Parker Campbell,laurie01@scott.com,9,Male,100.0,35.5,84.0,Medium
Thomas Williams,timothy26@yahoo.com,11,Female,48.1,40.2,96.5,Low
Rebekah Santos,isingh@richardson.com,8,Male,70.9,34.1,93.9,Medium
Danny Zimmerman,igibson@church.info,9,Male,77.8,27.0,81.2,Low
Kimberly Pittman,coffeynatasha@stokes.net,11,Male,68.2,32.3,100.0,Medium
Geoffrey Velez,mary60@kelley.com,9,Male,46.4,40.1,76.7,Low
Mark Wood,samantha20@hotmail.com,8,Female,49.7,29.4,90.2,Low
Timothy Cohen,harrissusan@gmail.com,9,Male,67.6,28.9,75.1,Low
Robert Collins,ellisnicole@gmail.com,8,Male,64.2,42.0,82.3,Medium
Ricky Rodriguez,nking@yahoo.com,9,Male,74.1,35.1,96.4,Medium
Michelle Oneill,tsmith@gmail.com,10,Female,85.0,29.6,86.7,Low
Lauren Griffin,eking@hotmail.com,8,Male,45.5,42.3,77.5,Low
Tyler Hanna,edwin22@hotmail.com,10,Male,57.4,33.1,79.6,Low
John Rich,duanegarcia@yahoo.com,8,Female,66.3,38.3,66.7,Low
Jonathan Giles,whoover@french-hall.biz,12,Female,67.2,37.5,79.8,Medium
Chris Baker,erinmeyer@johnson.org,11,Female,62.8,37.7,85.9,Medium
Edwin Williams,mcguireamy@yahoo.com,9,Female,69.7,38.8,96.9,Medium
Lisa Hale,umendoza@gmail.com,11,Male,66.1,41.1,96.8,Medium
Cody Andersen,ortizdiamond@hotmail.com,8,Female,68.1,45.5,75.4,Medium
Tina Salas,cnunez@johnson.net,10,Female,60.7,23.2,83.7,Low
Traci Henderson,jennifernorton@gmail.com,12,Female,59.5,30.1,88.3,Low
Aaron Hines,lawrence59@ramirez.com,8,Male,72.2,40.2,80.7,Medium
Frank Sanchez,rbarnes@rodriguez.com,8,Male,86.4,30.7,89.6,Medium
Tyler Mullins,tannertony@hotmail.com,8,Female,50.8,43.2,93.7,Low
Linda Burke,dowens@yahoo.com,11,Male,82.8,33.9,98.3,Medium
Stacy Munoz,murphychristina@hotmail.com,12,Female,77.1,37.6,88.4,Medium
Diana Shelton,tsmith@hotmail.com,10,Male,76.3,32.7,83.3,Medium
Amanda Reed,robin52@pittman-bennett.com,9,Female,73.6,37.1,84.8,Medium
Anna Henderson,gabriel71@yahoo.com,12,Male,82.1,38.9,100.0,Medium
Darrell Shaw,davidstark@yahoo.com,9,Female,64.1,35.0,99.8,Medium
Deanna Robinson,huffrobert@yahoo.com,12,Female,78.8,28.3,79.6,Low
Jeffrey Garza,christophermckinney@yahoo.com,10,Male,73.3,25.1,74.6,Low
Michele Shields,ojackson@yahoo.com,12,Female,58.6,29.6,100.0,Low
Jeffrey Moore,dawsonjohn@hotmail.com,12,Female,58.0,33.9,85.5,Low
Ashley Meza,nashmegan@yahoo.com,8,Female,69.7,36.1,79.7,Medium
Samuel Lopez,stephenfrank@gmail.com,10,Male,64.9,44.3,96.5,Medium
Mr. Kyle Thomas DVM,matthew66@gmail.com,12,Female,67.0,34.5,78.6,Medium
Richard Kelly,jayfletcher@yahoo.com,11,Female,97.3,36.7,96.1,Medium
William Gordon,murraystephen@burton-nguyen.com,12,Female,86.2,31.4,92.5,Medium
Christy Mccoy,wyatt83@harris.com,8,Male,64.0,36.7,85.0,Medium
Ryan Blackwell,zachary78@yahoo.com,12,Male,49.1,20.0,82.0,Low
Anthony Delacruz,xblake@brown-smith.com,10,Female,87.0,42.7,78.6,Medium
Justin Jackson,erin55@schneider-lucas.info,11,Female,60.2,30.1,88.0,Medium
Adrienne Smith,chelsea42@hotmail.com,11,Male,63.4,38.1,71.8,Low
Scott Murray,schmidtjason@myers.com,10,Female,79.4,27.9,81.1,Low
Michelle Hoffman,xcastillo@clayton.com,11,Male,67.7,32.6,84.2,Medium
Tammy Cobb,melinda74@lyons-martinez.com,11,Female,74.2,30.8,92.4,Medium
Eric Koch DDS,kayla66@hotmail.com,9,Male,58.2,41.7,94.7,Low
Melissa Mcguire,schwartzjacqueline@harrison.com,10,Male,66.9,33.1,63.7,Low
Glenda Barron,rebecca89@krause.com,10,Female,69.1,37.8,84.2,Medium
Anna Fuentes,glendawyatt@russo-dougherty.org,10,Male,71.8,22.5,86.0,Low
Mark Murphy,annadavis@yahoo.com,12,Male,84.2,20.9,79.4,Low
Richard Atkins,schwartzanna@williams.com,12,Female,60.0,27.3,84.6,Low
James Olson,ssteele@yahoo.com,10,Female,54.8,49.3,85.0,Low
Dr. Antonio Harvey Jr.,bbarnes@yahoo.com,9,Female,58.9,25.6,98.9,Low
Rhonda Miller,justinrogers@hotmail.com,12,Female,72.3,38.9,99.0,Medium
Jack Torres,yduncan@scott.com,12,Male,49.7,34.0,90.4,Low
Mr. Joseph Mcneil,kevin90@yahoo.com,8,Male,68.3,29.7,100.0,Low
David Tucker,paulrowland@gallagher-rivera.com,12,Female,69.9,39.1,93.4,Medium
Katherine Finley,miguelrodriguez@yahoo.com,8,Female,42.0,45.2,87.7,Low
Robin Bullock,miguel23@hotmail.com,11,Male,42.9,37.2,100.0,Low
Tanner Burke,johnsonchristina@yahoo.com,11,Female,88.2,33.7,100.0,Medium
Bradley Lloyd,tonya82@gonzalez-gardner.com,11,Male,66.2,35.0,74.1,Low
Donna Gutierrez,bevans@yahoo.com,10,Female,81.3,33.4,100.0,Medium
Rodney Gomez,kmaldonado@powers.com,9,Female,72.6,45.2,77.2,Medium
Donald Mcbride,qmathis@hughes.com,9,Male,59.4,29.5,90.9,Low
Corey Macias,hcollins@kim.com,8,Male,72.2,33.6,73.1,Low
Karen Boyd,wilsonkimberly@hotmail.com,9,Female,76.5,43.4,74.4,Low
Brittany Zimmerman,freemanalexis@hotmail.com,10,Male,55.5,40.2,96.2,Low
Tiffany Long,jennifer80@gmail.com,8,Male,60.8,37.6,70.6,Low
Katelyn Washington,williamstiffany@lane.com,11,Male,79.3,32.9,88.7,Medium
Brandon Carey,leonmartinez@booker-martin.com,9,Female,54.9,40.1,91.3,Low
Aaron Morales,alvaradocharles@lynch.com,9,Female,60.8,25.0,82.2,Low
Deborah Garrett,benjaminavila@hotmail.com,10,Male,72.4,29.8,79.0,Low
Timothy Patterson,jamespage@yahoo.com,9,Female,84.3,32.6,99.4,Medium
William Murray,abailey@yahoo.com,12,Female,87.6,42.2,88.3,Medium
Anthony Russell,christophermedina@hotmail.com,9,Male,66.2,31.8,98.0,Medium
Alex Graves,asmith@bray.com,12,Female,86.8,26.2,86.1,Low
Angela Kim,dgonzalez@white.biz,11,Male,68.4,31.3,68.3,Low
Wayne Perry,shannon78@pineda-yates.com,10,Female,61.9,28.9,93.3,Low
Hannah Golden,johncruz@nguyen.net,8,Male,70.5,34.6,83.5,Medium
Michele Kennedy,austinrhonda@reid-sanchez.com,11,Male,71.0,40.9,75.3,Medium
Daniel King,nlittle@yahoo.com,9,Female,63.5,50.0,98.3,Medium
Michelle Lowery,kwatson@hotmail.com,10,Male,64.5,34.8,77.0,Medium
Tamara Mcgrath,vmills@brown-thompson.biz,9,Female,60.6,37.0,93.7,Medium
Karen Gomez MD,tara27@yahoo.com,10,Male,60.6,39.4,82.0,Medium
Brett Jackson,scherry@li-bennett.org,10,Male,65.1,28.3,74.5,Low
Jordan Taylor,navarrofrank@yahoo.com,10,Female,85.4,37.8,73.6,Low
Karen Davis,gonzalezrobert@yahoo.com,9,Female,63.3,40.7,87.4,Medium
Laura Diaz,ygolden@miller.com,10,Male,80.5,35.6,90.2,Medium
Cindy Henderson,eric06@gmail.com,12,Male,68.8,38.2,91.7,Medium
Brian Briggs,ann84@gmail.com,11,Female,62.3,44.5,89.7,Medium
Taylor Craig,vnguyen@santos.com,10,Male,63.8,35.5,95.2,Medium
Jason Lopez,schwartzgabriel@shah.com,10,Male,55.7,40.7,87.5,Low
Robin Carter PhD,vsanchez@hotmail.com,11,Female,72.0,35.5,69.3,Low
Matthew Parrish,jennifermartinez@ali-dunlap.com,10,Female,69.4,33.5,75.9,Medium
Christopher Aguilar,robertpope@matthews.com,11,Male,72.3,40.3,100.0,Medium
Jason Jones,morsegina@yahoo.com,10,Male,60.6,47.1,86.9,Medium
Beverly Peterson MD,younghaley@kelly.com,9,Male,72.2,34.6,80.6,Medium
Misty Ward,higginsrebecca@yahoo.com,8,Male,64.4,24.0,81.1,Low
Christopher Gardner,evan40@booth.com,12,Female,60.8,34.7,85.1,Medium
Nathan Powers,mgarcia@barber.biz,8,Female,60.7,37.7,100.0,Medium
Jay Odonnell,xpetersen@bonilla.com,9,Female,91.1,22.8,74.9,Low
Larry Nelson,jessica29@hotmail.com,10,Female,71.1,46.1,90.6,Medium
Brian Willis,jenniferpayne@hotmail.com,10,Female,62.2,41.6,100.0,Medium
Nathan Chen,xmoreno@hall.com,12,Female,59.9,41.4,81.5,Low
Cynthia Bauer,annacook@gmail.com,12,Male,65.7,35.5,79.2,Medium
Deborah Hodges,stacey72@yahoo.com,12,Female,74.0,38.4,92.2,Medium
Amanda Khan,dhawkins@gill-hardy.com,10,Male,79.0,41.2,86.0,Medium
